EXPECEDU_BACHELORS,Growth_str_agree,Growth_agree,Growth_disagree,LANG_of_test,Grade_9,Grade_10,Female,CNTSTUID,BELONG,BULLIED,ESCS,FAMSUP
0.0,0.0,0,1.0,1.0,0,1,1.0,84000496,-0.6801,-0.391,-1.2026,-0.731
,0.0,0,0.0,1.0,0,1,1.0,84000497,0.114,-1.228,1.4155,1.142
,1.0,0,0.0,1.0,1,0,0.0,84000498,-0.4814,-1.228,1.026,-0.5855
1.0,0.0,1,0.0,1.0,0,1,1.0,84000499,-1.1098,0.7296,0.5243,-0.8296
1.0,0.0,0,0.0,1.0,0,1,1.0,84000500,-1.2265,-1.228,-0.033,-1.4249
1.0,0.0,0,0.0,1.0,0,1,0.0,84000502,-0.4941,0.837,1.7427,1.2702
1.0,0.0,0,1.0,1.0,0,1,0.0,84000503,-0.471,-1.228,-1.2712,-0.0569
1.0,0.0,1,0.0,1.0,0,1,0.0,84000504,-1.6135,1.4101,0.6429,1.4693
,0.0,0,0.0,1.0,0,1,0.0,84000506,-0.0801,-0.4588,1.5786,
0.0,0.0,0,1.0,1.0,0,1,0.0,84000508,-0.0397,-0.0259,-0.4391,-0.3092
1.0,0.0,0,1.0,1.0,0,1,0.0,84000509,-0.608,-1.228,1.0956,-1.1539
1.0,0.0,0,0.0,1.0,0,1,0.0,84000510,-0.3261,-0.1325,0.6292,0.8704
